Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-04-15,76.931177686036,77.06090459585,75.229847065836,75.2394475772,2936646.9686837
2013-04-16,76.003768288215,77.557371039792,75.610867360618,77.491847549729,3439797.5885595
2013-04-17,76.787170015567,77.229993602259,76.419230417518,76.700165381325,3185115.6432162
2013-04-18,76.991900920417,77.151389415462,75.479940386884,75.568025078654,3529987.8720243
2013-04-19,75.38933556088,75.38933556088,74.212072854795,74.740581005417,5593785.7878749
2013-04-22,74.970393246207,75.129881741252,74.190591710617,74.939431597056,2333777.4261542
2013-04-23,75.290570300217,77.199031953108,75.00963533641,76.300184076597,3285876.1308022
2013-04-24,76.431111050332,77.910909870794,76.431111050332,77.808544418369,3655333.4918758
2013-04-25,78.002714760718,79.660963086169,77.878748157722,79.329985456875,3478828.5544612
2013-04-26,78.609827098137,79.377748000914,78.457418980224,78.660949821154,2683481.1722944
2013-04-29,78.848999837508,81.447978270299,78.628788108082,81.1336815295,3947964.5195459
2013-04-30,80.917069991836,81.439577822855,80.028782677826,81.439577822855,3334321.4997388
2013-05-01,81.439577822855,82.180137268242,79.707405559896,79.770528922118,3600978.9218907
2013-05-02,80.15034915298,80.770542187134,79.329985456875,79.489473951919,3432576.351685
2013-05-03,80.171710290767,80.29087663808,79.240820707576,79.499074463284,3486056.5111096
2013-05-06,79.3991091387,79.850333172836,78.741954135793,78.819238252278,4917798.3870846
2013-05-07,78.869280917766,79.351586607445,78.741954135793,79.04917049946,2567785.1475594
2013-05-08,79.131254871627,79.997941035067,79.000327897893,79.997941035067,3094934.5994403
2013-05-09,79.739567272967,80.770542187134,79.688444549951,80.091906040048,2155460.6697401
2013-05-10,80.339599233255,81.48013998337,80.15034915298,80.481326782275,2193644.9441483
2013-05-13,80.059744326977,80.688457814966,79.850333172836,79.91705672682,1739587.3114049
2013-05-14,79.906256151535,80.630014702034,79.86221380565,80.546730265946,2265006.4215431
2013-05-15,80.50028779222,80.939631193543,79.820571587606,80.761061682161,2382817.4950684
2013-05-16,80.558730905152,81.520582137494,79.291943430592,80.607453500328,2528731.5024213
2013-05-17,80.70033844778,82.240980509015,80.50028779222,82.240980509015,2567982.5409135
2013-05-20,82.940977793887,83.819544590141,82.331345322235,82.531395977795,3026644.0586529
2013-05-21,82.647922184482,83.33135858725,82.121814161702,82.901615697292,2676000.3841582
2013-05-22,82.967139187356,84.22192602271,82.199218284579,82.52179546643,3092890.9482462
2013-05-23,81.759874883256,82.749207579379,81.09923969498,82.52179546643,2759999.2360768
2013-05-24,82.038529725614,82.388468364854,80.780142698498,82.219379358445,2206925.7370092
2013-05-28,83.270635352869,83.440924423199,82.758688084352,83.090865777567,2105298.3986084
2013-05-29,82.52179546643,83.370720683845,82.35030633218,82.950338292468,2457822.7697834
2013-05-30,83.020662038213,83.402762390525,82.777889107081,82.840892462911,2195551.6799521
2013-05-31,82.250341007596,83.50164765758,81.999167629019,82.112213650337,3134966.8116318
2013-06-03,82.481353312307,82.611080222121,81.59678619645,82.101653087836,2019012.3036969
2013-06-04,81.999167629019,82.287302976349,80.939631193543,81.25032774258,3340512.0913133
2013-06-05,81.25032774258,81.25032774258,79.36934755347,79.583678969684,2433399.75206
2013-06-06,79.739567272967,80.051583892317,78.771715721023,79.551517256613,2721558.7702941
2013-06-07,80.840745926487,80.950311762436,80.059744326977,80.897868969107,2916634.6424606
2013-06-10,81.277689199969,81.588505755398,80.599053052884,81.552743850565,2127511.4507371
2013-06-11,80.639615213399,81.59678619645,80.359880313513,80.409802972609,1972249.3981151
2013-06-12,80.840745926487,80.996874242554,79.650402523668,79.707405559896,1462595.7171849
2013-06-13,79.89197539088,81.377654524553,79.440751356744,81.081238736171,2150461.1580642
2013-06-14,80.907469480472,81.651509111228,80.327598594049,80.546730265946,1367383.2428077
2013-06-17,81.277689199969,82.950338292468,81.111000321401,82.447991535315,2473330.3276735
2013-06-18,82.640961813743,83.296796746338,82.139695114119,82.932577346443,1862584.3703279
2013-06-19,82.870654048141,83.031342607106,81.820598117638,81.831398692923,1876335.547352
2013-06-20,81.111000321401,81.511101632521,79.36934755347,79.520555607462,2886850.08525
2013-06-21,79.688444549951,79.91705672682,78.781316232387,79.3991091387,4555054.0799953
2013-06-24,79.059731061961,79.872894374543,78.848999837508,79.158616329016,2518388.0906644
2013-06-25,80.171710290767,80.171710290767,79.250301212548,79.660963086169,2899299.3061084
2013-06-26,80.481326782275,80.481326782275,79.430070787851,79.560997761586,3066592.2736724
2013-06-27,80.219352828413,80.917069991836,79.840732661472,80.219352828413,4099781.0081735
2013-06-28,72.751235044279,73.207139327705,69.914283936038,72.916723858926,27914518.091284
2013-07-01,72.140522515098,73.50955543569,71.999995029998,72.102360482423,6396844.9504008
2013-07-02,71.728540571164,72.450019000214,71.388202443289,72.12144149876,4685504.2079878
2013-07-03,71.880948689077,72.998928237485,71.880948689077,72.681031304925,2908587.7133855
2013-07-05,73.252501743903,74.089426322113,72.998928237485,73.639402351897,3125448.2521037
2013-07-08,74.008542013866,74.860827410259,73.760848820659,74.469126546583,4585313.2212276
2013-07-09,74.860827410259,74.981193821492,73.838252943536,74.098906827085,4339978.4811816
2013-07-10,74.222753423689,74.500088195734,73.726286979746,74.350080205662,3547379.4864818
2013-07-11,74.998954767517,75.577505583626,74.886988803727,75.196605295236,4099120.7904018
2013-07-12,75.497701332908,75.741794334353,74.960792734843,75.516902355637,3509691.6353599
2013-07-15,75.807317824417,76.290703571625,75.352613604911,76.25134147503,2247475.3717802
