Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-04-15,210.44319745874,211.69250712955,209.2645201368,209.2645201368,4218375.0697439
2013-04-16,210.80224523221,212.00740968497,209.19388778792,212.00740968497,2860053.4604948
2013-04-17,210.51382980762,211.08918914953,209.52350541603,209.65299805564,3269775.5219323
2013-04-18,210.11357983063,210.25484452839,206.11990910438,207.13966364133,6493249.8716714
2013-04-19,196.19606408674,196.48447951134,189.7346756715,190.00690451614,18847978.713298
2013-04-22,191.18558183807,191.40042189925,187.66573645222,187.79522909183,9846963.154498
2013-04-23,189.30352404187,192.5643841485,188.61485864029,191.62997703311,6296329.2287665
2013-04-24,192.17590622966,192.49080878508,191.09876290924,191.71679596194,3694011.4396536
2013-04-25,192.72036391894,195.19102462247,192.33482901464,193.94318645893,4651955.8970909
2013-04-26,194.11388130205,194.73191435475,193.25304955008,194.31547779781,3490230.4353752
2013-04-29,194.78930313822,199.68647932723,194.67452557129,199.14055013068,5934205.6246663
2013-04-30,199.12730656526,202.58829166038,197.34531126331,202.52943136964,7540835.1309736
2013-05-01,201.88343967885,202.15566852349,199.18322384146,199.65704918186,4899265.9360647
2013-05-02,200.13087452226,202.44408394808,199.74386811069,202.39993873003,3945936.8333964
2013-05-03,203.90823368007,205.34442477396,203.76549747504,204.48212151472,4492723.3721944
2013-05-06,203.80817118583,203.96562246354,201.48171819459,202.80313172155,4827040.6475932
2013-05-07,202.84433392507,203.73606732968,201.65388454499,203.66396347353,3448065.5346556
2013-05-08,202.9422892141,204.81556660027,202.49996726678,204.80092017817,3601743.910492
2013-05-09,204.67203166372,204.9869297388,202.74309787358,203.25718728918,3542620.9165619
2013-05-10,203.39925758352,204.54314314927,202.82804712175,204.48602210309,3279554.4112121
2013-05-13,204.20041687221,204.48602210309,202.22900845799,202.4721390648,3650696.7336384
2013-05-14,202.08547352144,203.65703461242,202.07082709935,203.2147126651,3701202.6818546
2013-05-15,202.24365488009,203.67168103452,202.02688783306,203.34360117955,4029182.1194577
2013-05-16,203.99976088948,206.58778367397,203.99976088948,204.67203166372,4506974.4621622
2013-05-17,205.24324212549,209.50388631342,204.9722833167,208.45959641793,5704294.6694168
2013-05-20,208.01727447061,209.14504897205,207.45924578872,207.58813430317,3614452.9510408
2013-05-21,207.26005444821,209.48923989133,207.00227741931,208.63242419867,2982925.013025
2013-05-22,208.5460103083,210.16151066556,206.10152246036,206.98763099721,5187129.9065867
2013-05-23,205.53031199859,208.61777777657,205.11581825325,206.14546172665,5180340.9310564
2013-05-24,204.67203166372,206.43106695753,204.44354747901,205.7441497612,3295737.6945973
2013-05-28,207.47389221082,208.61777777657,207.17510520005,207.7594974417,4011446.4106087
2013-05-29,206.20111813062,208.44641463804,206.04440141418,207.91621415814,3439413.6568551
2013-05-30,206.95833815302,211.00367993612,206.95833815302,209.37499779897,4399697.5950089
2013-05-31,208.61777777657,211.97620236335,208.01727447061,208.01727447061,4950406.3613176
2013-06-03,208.24575865532,210.0604503531,207.33035727427,208.96050405363,3323647.0722595
2013-06-04,208.61777777657,208.98979689783,205.05869720707,206.17328992863,3598399.0947448
2013-06-05,205.12900003314,206.27288559889,202.39890695431,202.75627965347,4215365.4358223
2013-06-06,202.98622848039,204.22824507419,201.48497021548,203.82986239316,3679533.7887071
2013-06-07,204.81556660027,206.33000664507,204.10082120195,206.33000664507,2953343.5772921
2013-06-10,206.95833815302,206.97298457511,204.87268764644,205.01475794078,2652218.5116731
2013-06-11,203.15759161892,205.94480574392,202.49996726678,203.9719326875,2814518.6822569
2013-06-12,204.58708241556,205.21541392351,200.48461958627,201.1847185625,3409755.9640805
2013-06-13,200.99870900187,204.42890105691,200.34108464973,203.78592312687,2899697.0982478
2013-06-14,203.9719326875,204.7291527099,201.81305007044,202.1997156138,2804459.0492033
2013-06-17,203.42855042771,205.14364645523,202.54244189086,203.01405668237,3220007.4561143
2013-06-18,202.99941026028,206.05904783628,202.87198638804,204.84339480225,3278151.0018022
2013-06-19,204.45819390111,205.01475794078,201.9419385849,201.9419385849,2846003.7456091
2013-06-20,200.6559827248,201.69880797809,197.28291171593,197.32538634001,4516329.5920872
2013-06-21,198.51174652985,198.54103937404,193.5510033657,195.45357359606,8918917.2590166
2013-06-24,193.98014353313,194.93801953825,191.33499970246,193.5510033657,4356152.7253714
2013-06-25,195.3393315037,195.56781568841,193.13797426257,194.99660522664,3848023.3725758
2013-06-26,195.98230943375,196.21079361846,194.48105116884,194.86771671219,3320202.2128704
2013-06-27,196.05261225981,196.91089259468,195.31003865951,195.62493673459,3518706.9881221
2013-06-28,192.79524798551,193.72383114644,189.43535875652,192.10833078917,10002836.249181
2013-07-01,192.13615899115,193.82342681669,191.10651551776,191.30863614269,4442422.5265465
2013-07-02,190.77843566279,193.20827708863,190.29363909139,191.5224739053,3657855.8006832
2013-07-03,190.66419357044,194.22327413993,190.507476854,193.23756993283,1878308.882291
2013-07-05,194.46640474674,195.16650372296,192.35146139598,194.96731238245,2405595.5430986
2013-07-08,195.5809974683,195.78165345102,194.59529326119,194.99660522664,2948456.1305634
2013-07-09,191.89449302656,192.82307618749,190.77843566279,191.30863614269,5204482.9310154
2013-07-10,191.5371203274,193.43676127334,191.29398972059,192.22257288152,3936859.3281457
2013-07-11,193.8087803946,194.10903204758,192.60777378267,192.82307618749,4179023.0087945
2013-07-12,193.06474215208,193.72383114644,191.59277673137,192.05120974299,4495542.9019636
2013-07-15,192.40858244215,194.90872669406,191.67919062174,193.98014353313,5678237.8481442
