Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-04-15,118.80202499189,118.90886148024,116.5084916711,116.56716170894,9767210.1850785
2013-04-16,117.33992563449,117.50228108448,116.20403768956,117.01056314584,6513707.7549649
2013-04-17,116.39730369657,116.39730369657,114.11277345064,114.80931134237,8291193.8172162
2013-04-18,114.89138937485,116.13531421812,114.60734236299,115.59978131515,6452565.875988
2013-04-19,116.35348873225,116.9446906481,115.83386126153,115.90408524544,7573386.9008071
2013-04-22,116.37689672688,117.09114066584,115.8910307869,116.56716170894,5436156.2729685
2013-04-23,116.98265361377,118.08478002798,115.90408524544,117.48037360232,6745136.6406056
2013-04-24,118.03646352622,118.67313097013,117.96909051602,118.27069352385,4559893.8815255
2013-04-25,119.09312441239,120.01233835567,118.29410151849,118.50927500766,5602999.590592
2013-04-26,119.00834545745,120.41042431577,118.67313097013,120.04880080886,6012549.19219
2013-04-29,120.43533282288,121.62208814079,120.04880080886,121.34269271761,5159432.6273792
2013-04-30,121.0484422209,121.9865626214,120.13222930257,121.9865626214,6909277.6189128
2013-05-01,121.26646668378,121.58697614883,120.04880080886,120.29053336887,6082100.7784493
2013-05-02,120.99007228556,122.3129240851,120.61389380762,122.02317512583,5067568.1226108
2013-05-03,122.70965958397,123.93317745755,122.47542958634,123.4867749957,6384594.0137486
2013-05-06,123.28195504262,123.79407995095,122.73171711738,123.22343505603,4669123.7348948
2013-05-07,123.31856754705,123.73405945188,122.55885808005,123.03602104767,4412998.6792827
2013-05-08,122.97750106108,123.59796297024,122.86766354778,123.33762405551,4479858.8585721
2013-05-09,123.46036597611,123.98284442053,122.96564701251,123.6359259359,9237889.8986001
2013-05-10,123.36373297261,123.72085494208,122.11980812934,123.19702603643,10581824.393264
2013-05-13,122.91432948581,123.09889252045,122.16662411862,122.86766354778,16870016.295315
2013-05-14,122.92633358562,124.9941898299,122.91432948581,124.9941898299,6967137.0609557
2013-05-15,123.73300309466,123.73300309466,122.59622924712,123.03891163845,7950390.3235759
2013-05-16,122.75743470436,123.36117370208,122.48578192555,122.77038472724,5549738.1642435
2013-05-17,122.75743470436,123.40925252266,122.25059760198,123.40925252266,6850911.2111605
2013-05-20,123.41788587124,124.83777401209,123.18552971359,124.78701587643,5298285.9372266
2013-05-21,124.83777401209,126.220002891,124.74920776366,125.93108341502,6700769.1572156
2013-05-22,125.89044713633,126.96916915716,124.5894908148,124.93780177503,9351234.2426676
2013-05-23,124.23239765515,125.80470905381,124.23239765515,125.41695262159,8095597.9440608
2013-05-24,124.49214236695,125.53901030851,124.34269612589,125.46651995055,5593285.7104566
2013-05-28,126.40874575321,127.40172969152,125.84236831575,126.43330614143,6598778.4676364
2013-05-29,126.07904114769,126.71210376044,124.81306477303,125.50432806332,6422371.0938803
2013-05-30,125.22538159347,125.96725416858,124.50390158312,125.11508312273,4353487.9514114
2013-05-31,124.62863858512,125.30233747656,122.75743470436,122.75743470436,7906857.9305649
2013-06-03,122.32011094319,124.130732533,122.32011094319,124.09292442023,7257801.536075
2013-06-04,122.84436359357,123.64428799539,122.1141013838,122.99098166871,7675431.3482176
2013-06-05,122.30864942868,123.10142899029,121.28515106864,121.59133724179,7745563.1202567
2013-06-06,121.25180848099,121.50589686095,118.65004468878,120.60133032023,10141732.687049
2013-06-07,121.2111722023,121.98192183992,120.14391169597,121.7279823108,6090254.2421623
2013-06-10,122.96642128049,123.00274088489,121.82369339945,122.69342884414,5585895.0807769
2013-06-11,121.8847222429,122.77038472724,121.2372210989,121.45796689121,4548601.263736
2013-06-12,122.2956994058,122.7441869798,119.60388085678,119.95963435889,5489172.1950925
2013-06-13,119.89131182439,121.84557447259,119.79277256983,121.67573566677,4656614.6621612
2013-06-14,121.12975079408,121.69895639745,120.09464206869,120.29633495378,4415209.6965738
2013-06-17,120.46781111881,121.79630484531,120.29633495378,121.2111722023,4046859.4735326
2013-06-18,121.01067012391,121.73810416777,120.84083131809,121.54057910614,4545096.7414797
2013-06-19,121.82369339945,122.36387308947,120.43149151441,120.50264221483,4634613.5910311
2013-06-20,119.52975313961,119.64898266061,117.57415083387,117.95759059179,7627757.3097008
2013-06-21,119.26851991944,119.52975313961,117.25769395291,118.92020895922,10692108.677723
2013-06-24,117.7093073945,118.04451948101,116.01940383406,116.83227825876,6785802.7254451
2013-06-25,117.74845516482,117.8660473266,116.93840890604,117.44494830674,5984759.7191087
2013-06-26,118.33775563128,118.5178651449,116.99646073274,118.16211164279,4820681.8195763
2013-06-27,118.50342661365,119.52975313961,118.47871737459,118.69499764177,4460430.2939976
2013-06-28,118.78951792371,119.55312272113,118.15213863667,118.33775563128,6506517.5110353
2013-07-01,118.35115220668,120.01322066047,118.02293610954,119.08841040582,5053220.7846757
2013-07-02,119.08841040582,120.34724194027,118.57308880569,119.1582214487,4912158.9423866
2013-07-03,119.12473001022,119.31481252997,118.59645838721,119.08841040582,3041949.4258317
2013-07-05,119.66044417511,120.84083131809,119.100169622,120.51559223771,4388522.153464
2013-07-08,121.2632699955,122.2956994058,120.94845047375,121.2372210989,4964402.3599609
2013-07-09,122.37682311235,123.74446460916,122.05173288281,123.24938672296,6253645.7045432
2013-07-10,123.44393476784,124.52712231381,122.72096624912,122.91402578562,5575162.4813671
2013-07-11,123.93320747137,124.11763365928,122.49888079927,123.76917384822,7235064.8458861
2013-07-12,123.50794062805,124.15395326368,123.05186166133,124.05526515829,5615149.7139907
2013-07-15,124.11763365928,125.15274238467,124.05526515829,124.67522889732,4062353.6221481
