Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-04-15,82.720466561669,83.08684190186,81.705087197241,81.705087197241,12385614.678725
2013-04-16,82.329475174802,83.5365731673,82.066513279371,83.440844096898,12620568.313176
2013-04-17,83.319457030756,84.427960592922,83.287417096988,83.899301685762,13693285.909027
2013-04-18,84.006622439519,84.297716959722,83.029404459619,83.182831459529,9921414.615662
2013-04-19,83.51091517156,84.569795909476,83.468716234403,84.489305344159,10787695.552613
2013-04-22,84.588941723557,84.928617118943,84.198080580323,84.83041341951,6989807.2069016
2013-04-23,84.98996187018,85.682337024272,83.998938065161,85.451024331708,8982296.8932809
2013-04-24,85.727140834092,85.737169593849,84.279873581973,84.390971401093,9481740.5238987
2013-04-25,84.541793528338,85.43969313562,84.339915896878,85.221274562743,8689407.3623639
2013-04-26,85.301765128061,85.490618396201,84.809965169097,85.121638183345,6785300.4918499
2013-04-29,85.020829611248,85.886819528396,84.909471304862,85.578923579511,8039781.217028
2013-04-30,85.390982016803,85.697705772989,84.887850861751,85.231433566133,12101231.77657
2013-05-01,84.500897027514,85.129192314071,83.877550999018,84.231422950423,12313199.897245
2013-05-02,84.439552276276,85.209682879388,84.168775762853,85.159929811506,8670010.8394972
2013-05-03,85.531514897026,85.995182231218,85.451024331708,85.748761277204,9216675.8507406
2013-05-06,85.779368531006,85.779368531006,84.55325496806,84.68349860126,8815951.3924469
2013-05-07,84.869877240369,85.568504088855,84.62853578805,85.531514897026,9064263.526661
2013-05-08,85.480589636445,85.600674266255,84.928617118943,85.461443822364,8044546.9647744
2013-05-09,85.451024331708,85.688588718665,84.959484860011,85.150943000815,8342217.1192743
2013-05-10,85.290173444706,85.758920280593,85.179075625586,85.758920280593,7595333.5481307
2013-05-13,85.558475329098,86.064211356814,85.43969313562,85.852044478331,6631428.7700699
2013-05-14,85.758920280593,87.083498030238,85.758920280593,86.968492902122,10363203.4248
2013-05-15,86.939188084652,87.880458821789,86.939188084652,87.641722242134,13445276.772082
2013-05-16,87.327444355222,87.770533195368,87.063049779826,87.448701177731,9441996.9906087
2013-05-17,87.469149428143,88.197211337732,87.411711985902,88.091062776674,11439499.05042
2013-05-20,88.100179830998,88.197211337732,87.811429696193,88.008227825959,7235783.8350333
2013-05-21,87.940501136695,88.636523112516,87.792283882113,88.590547109996,10099585.622323
2013-05-22,88.697867863753,89.990405679631,88.197211337732,88.457698604132,13827265.507757
2013-05-23,87.110764973563,87.967579030915,86.999074064458,87.210950684856,14446888.148858
2013-05-24,86.798702641872,87.028289510589,86.485735406983,86.817705609046,10390043.914805
2013-05-28,87.537879283383,88.292180735503,87.271837742945,87.611434986255,8380624.9646717
2013-05-29,87.080256808576,87.161310280809,85.139368719095,85.650251210745,11872281.466619
2013-05-30,85.711008996948,86.308245108138,85.683344813443,85.993855882507,7801105.0875583
2013-05-31,85.684508260413,85.997604767188,84.178490793885,84.178490793885,13305755.490445
2013-06-03,84.279839952147,84.710832418534,83.369636606068,84.710832418534,11770497.915817
2013-06-04,84.719752178636,85.032848685411,83.558632102726,84.099893487477,9971961.6219587
2013-06-05,83.911027262705,85.001177073454,83.481198243288,83.678984228163,9839005.320515
2013-06-06,83.588881723942,84.461208407559,82.649592203617,84.461208407559,10671698.291358
2013-06-07,84.960714973281,85.183838247721,84.399028630614,84.908618403409,8908928.8596789
2013-06-10,85.012552999382,85.711008996948,84.731128104564,85.139368719095,8477076.8534078
2013-06-11,84.761636269551,85.022765478339,84.130272380579,84.688209838565,8966972.1143388
2013-06-12,85.183838247721,85.501976358032,83.699279914192,83.741034733221,8413195.5116104
2013-06-13,83.601679640611,84.960714973281,83.078128504178,84.908618403409,8573399.3749909
2013-06-14,84.710832418534,85.480387953147,84.661450558258,84.908618403409,6357029.2678781
2013-06-17,85.372575200607,86.413472422966,84.978425221599,85.62749935889,8429067.4412543
2013-06-18,85.746558765471,86.441265878357,85.62749935889,86.361375853094,7234081.7617807
2013-06-19,86.432475390141,86.49827477988,84.799642203899,84.857943824277,8288495.043159
2013-06-20,84.214040562408,84.449703209746,82.122292182504,82.619213310515,15173830.572517
2013-06-21,83.000823916626,84.319138605351,82.498731913193,83.1986099015,20718885.334444
2013-06-24,82.917185006682,85.310395423663,82.809242982257,84.610775979127,14777596.340669
2013-06-25,85.162249842836,85.588200705686,84.541098432822,85.353572233433,11241288.450746
2013-06-26,85.949515625767,87.319797612479,85.940595865665,86.990283576241,11966639.816203
2013-06-27,87.527796076311,87.820596897057,86.485735406983,86.711314847248,8890408.8475438
2013-06-28,86.722690773175,87.379391951713,85.853078799155,85.861998559258,11898142.275795
2013-07-01,85.721350747791,87.638064994676,85.501976358032,86.62896865616,9905891.2932952
2013-07-02,86.646678904479,87.199445487043,86.21051556267,86.573123201607,8573757.5011303
2013-07-03,86.722690773175,87.037079998806,86.097790478481,86.782285112409,3608612.2954207
2013-07-05,87.581056093153,87.87760579858,86.921769476905,87.867522591508,5403607.5579094
2013-07-08,88.091938584803,88.99205872381,87.967579030915,88.586274275104,12051668.743199
2013-07-09,88.651039489759,89.080609965404,88.361987553694,88.879204367735,9349610.9628859
2013-07-10,88.879204367735,89.479930819834,88.811982987255,89.24039001593,7067189.4588873
2013-07-11,89.808410680988,89.930184797166,89.000719940141,89.668926316492,8941310.0888352
2013-07-12,89.691807440232,89.987193698688,89.381037827397,89.987193698688,7592883.1349599
2013-07-15,89.912474548847,90.811172697113,89.761355714652,90.39776120716,13344759.686714
