Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-04-15,157.85573307854,158.30524555986,155.0238044462,155.0658556138,727571.64828615
2013-04-16,155.39501475335,157.9224349306,154.87590033944,156.29548975626,772736.95431466
2013-04-17,155.36746398837,156.97990876009,154.35533588526,156.29548975626,598374.27586686
2013-04-18,156.54199660086,156.84360497543,155.62702119533,156.54199660086,397688.51988201
2013-04-19,156.97990876009,159.05781645601,156.74790231811,158.81130961141,551701.09405521
2013-04-22,158.92006263109,159.23472136802,157.40332051669,157.73102961598,368283.84467444
2013-04-23,158.07323911789,159.33042402533,157.63677699892,158.66050542413,324049.16358354
2013-04-24,158.9621137987,159.65958316488,158.47055014977,159.41307632028,327009.31177318
2013-04-25,159.0157652884,159.57693086993,157.48597281164,159.12451830808,380664.37548639
2013-04-26,159.07231685863,160.62821006012,159.07231685863,159.98729226417,375718.60144734
2013-04-29,160.45130514812,162.03764919511,159.79588694954,161.99704806776,387727.46758297
2013-04-30,161.64033816323,165.30458990615,161.61423743851,165.01603189394,872609.39847468
2013-05-01,163.81249847621,165.54964671048,163.81249847621,164.92177927689,555134.60257078
2013-05-02,165.31764026851,166.66907779301,164.68687275439,165.87880585003,399277.60586025
2013-05-03,166.66907779301,167.2853449045,166.01365959443,166.492172881,509699.32751565
2013-05-06,166.43707135103,167.69570629874,166.01365959443,166.7386797256,471044.00630963
2013-05-07,167.04028810016,167.20414264981,166.51972364599,166.87353347,504564.06302157
2013-05-08,166.90253427524,167.02578769754,165.11173455126,165.49599522078,673965.60333933
2013-05-09,165.17988644359,166.12531269463,164.34756333301,164.60712053997,494196.95974743
2013-05-10,167.02578769754,167.12004031459,163.79944811385,164.26346099779,502192.14002829
2013-05-13,164.0590053208,165.45394405317,163.51379018217,165.31764026851,445054.54903315
2013-05-14,165.19293680595,166.09631188938,164.43021562796,164.63467130495,460389.3750477
2013-05-15,164.43021562796,167.25924417978,164.0590053208,167.17659188482,773851.21672017
2013-05-16,166.57627521622,167.90016197573,164.48241707741,165.16828612149,804640.85498326
2013-05-17,165.19293680595,167.65365513113,165.19293680595,167.44919945414,779279.86218911
2013-05-20,167.18964224718,167.65365513113,165.96000810472,166.93008504023,486818.53797468
2013-05-21,167.36654715919,167.90016197573,166.47912251864,167.73630742608,677652.98516725
2013-05-22,167.18964224718,168.65128283162,162.09130068482,162.965674963,688519.05558558
2013-05-23,161.2720279366,162.01009843012,159.0157652884,160.06849451886,1033666.0425365
2013-05-24,159.79588694954,162.75976924575,159.09696754309,162.59736473637,875709.28672948
2013-05-28,163.95170234139,164.45486631242,159.09696754309,160.80511497212,678247.06335064
2013-05-29,159.78138654692,160.19174794116,156.49994543325,157.24091600731,889394.30202551
2013-05-30,157.24091600731,157.52512389872,153.71441808931,154.01312638335,1074969.1087495
2013-05-31,153.65786651908,155.33846318312,151.57995882315,151.7858645404,1503727.4786487
2013-06-03,152.22377669963,155.75027461763,151.25224972386,155.46171660542,1114400.6823603
2013-06-04,155.46171660542,155.88657840229,151.4857062061,151.56545842053,715109.90727918
2013-06-05,151.0622944495,152.00482062002,150.21402089603,150.89698985959,699235.87483463
2013-06-06,150.95209138956,154.01312638335,149.96751405144,153.94642453128,570683.79423524
2013-06-07,154.28573395267,154.77874764186,151.64811071548,153.78256998164,743402.51495143
2013-06-10,152.51816654916,152.51816654916,149.88760068387,150.42982229744,460767.05547803
2013-06-11,149.72507802517,150.76925015103,148.32853376317,148.978624398,573709.81867494
2013-06-12,149.96958114004,149.96958114004,147.22970799987,147.71727597599,713683.37185157
2013-06-13,147.39223065858,152.72239856276,147.04129677605,152.36714991939,632415.44856374
2013-06-14,152.24777486919,154.21242930985,150.57796241998,151.75876863944,499555.49410362
2013-06-17,153.24879938654,155.01209832084,151.92129129815,153.31783556015,654252.66237561
2013-06-18,153.41276029886,153.76369418138,152.27366343429,152.40885927428,483381.71983398
2013-06-19,152.53254908533,153.29050874143,149.04766057161,149.18141815798,1137447.0269552
2013-06-20,148.54571005932,148.68090589931,145.04643900943,145.91514419403,1012096.0350555
2013-06-21,147.05424105861,151.02813580207,146.6615978212,149.72507802517,1777279.9733095
2013-06-24,148.47667388571,152.85615614913,146.6615978212,149.18141815798,1137163.7812161
2013-06-25,150.19826346512,151.89540273305,148.12574000319,150.8095212523,836266.07922366
2013-06-26,151.82636655944,152.49227798406,150.91882852718,151.5674809084,789700.18468083
2013-06-27,152.47789544789,154.33468086729,151.48693870585,154.11750457114,702048.90559734
2013-06-28,153.15531290144,154.79492202469,151.62357279946,153.31783556015,955454.26344219
2013-07-01,153.62993659501,154.10456028859,151.29708922842,151.73144182072,685012.85458578
2013-07-02,151.59480772712,155.25660143571,151.54015408968,154.67267046726,770333.99489423
2013-07-03,153.80540353627,154.17215820858,150.5118027536,153.26318192271,676831.92101417
2013-07-05,153.26318192271,153.81978607244,149.45468634519,152.88492122147,802102.51243058
2013-07-08,152.97984596018,154.55185716344,152.65336238915,152.8705386853,573236.267205
2013-07-09,153.73780561628,155.92107460672,153.03162309039,155.26954571827,474828.28861079
2013-07-10,155.01209832084,156.24468167051,153.79245925372,155.28392825443,461978.22605999
2013-07-11,156.83005089259,159.66197226424,156.74807043643,159.39301883788,491218.92289937
2013-07-12,159.47212278681,160.25884751525,157.58801054869,159.09242383195,485208.06475538
2013-07-15,159.02338765834,160.21713816036,158.38767955968,159.66197226424,254949.19464629
2013-07-16,159.83887745912,161.28863710494,159.66197226424,160.32644543524,477675.49838325
